Entry Time,Exit Time,Open Price,Close Price,High Price,Low Price
2024-06-13 12:03:27,2024-06-13 12:04:27,67792.6171796936,67791.22746078475,67814.29094085282,67791.22746078475
2024-06-13 12:04:02,2024-06-13 12:05:02,67814.25457217019,67797.8315904867,67814.25457217019,67797.8315904867
2024-06-13 12:05:02,2024-06-13 12:06:02,67798.01708612002,67794.04987085318,67807.2477639704,67794.04987085318
2024-06-13 12:06:02,2024-06-13 12:07:02,67788.56181024374,67787.85582741891,67797.82478379547,67787.85582741891
2024-06-13 12:07:02,2024-06-13 12:08:02,67788.1010448885,67788.1010448885,67796.3275772763,67788.1010448885
2024-06-13 12:08:02,2024-06-13 12:09:02,67796.45443736068,67772.06752201237,67796.45443736068,67772.06752201237
2024-06-13 12:09:02,2024-06-13 12:10:02,67767.88489602947,67767.88489602947,67786.3235296086,67767.88489602947
2024-06-13 12:10:02,2024-06-13 12:11:02,67777.93352079747,67751.19666471508,67777.93352079747,67751.19666471508
2024-06-13 12:11:02,2024-06-13 12:12:02,67770.13768274327,67750.87268634108,67773.31239527056,67750.87268634108
2024-06-13 12:12:02,2024-06-13 12:13:02,67756.6143342872,67751.59713152393,67764.20259608532,67751.59713152393
2024-06-13 12:13:02,2024-06-13 12:14:02,67758.94723496654,67758.94723496654,67809.62456557789,67758.94723496654
2024-06-13 12:14:02,2024-06-13 12:15:02,67813.3486485621,67813.3486485621,67843.67305849674,67813.3486485621
2024-06-13 12:15:02,2024-06-13 12:16:02,67831.82236977485,67821.12724910707,67836.39703496256,67821.12724910707
2024-06-13 12:16:02,2024-06-13 12:17:02,67831.6549870366,67824.03287159406,67838.00440679563,67824.03287159406
2024-06-13 12:17:02,2024-06-13 12:18:02,67818.88820287482,67793.50266471277,67818.88820287482,67793.50266471277
2024-06-13 12:18:02,2024-06-13 12:19:02,67797.31149193761,67782.50861501231,67799.3940868691,67782.50861501231
2024-06-13 12:19:02,2024-06-13 12:20:02,67782.14718905836,67758.07769292178,67782.14718905836,67758.07769292178
2024-06-13 12:20:02,2024-06-13 12:21:02,67758.07769292178,67757.29489680837,67768.17060432438,67757.29489680837
2024-06-13 12:21:02,2024-06-13 12:22:02,67756.21610409059,67756.21610409059,67805.27695061306,67756.21610409059
2024-06-13 12:22:02,2024-06-13 12:23:02,67806.66829924108,67804.47067399014,67824.00398100131,67804.47067399014
2024-06-13 12:23:02,2024-06-13 12:24:02,67812.46384814243,67812.46384814243,67829.59753097239,67812.46384814243
2024-06-13 12:24:02,2024-06-13 12:25:02,67806.96553098707,67806.96553098707,67837.939901254,67806.96553098707
2024-06-13 12:25:02,2024-06-13 12:26:02,67833.7493727777,67820.48261952747,67837.92444031844,67820.48261952747
2024-06-13 12:26:02,2024-06-13 12:27:02,67824.66105615335,67818.44862984652,67849.18016696455,67818.44862984652
2024-06-13 12:27:02,2024-06-13 12:28:02,67854.40237156577,67848.20795052573,67856.51571394887,67848.20795052573
2024-06-13 12:28:03,2024-06-13 12:29:03,67859.01367650706,67838.75029295761,67859.01367650706,67838.75029295761
2024-06-13 12:29:02,2024-06-13 12:30:02,67847.93497681995,67828.08462856802,67854.44029650195,67828.08462856802
2024-06-13 12:30:02,2024-06-13 12:31:02,67845.17007942851,67845.17007942851,68322.93811423804,67845.17007942851
2024-06-13 12:31:02,2024-06-13 12:32:02,68165.68623549178,68165.4118583092,68296.15444740698,68165.4118583092
2024-06-13 12:32:02,2024-06-13 12:33:02,68285.21599481198,68285.21599481198,68363.53913946297,68285.21599481198
2024-06-13 12:33:02,2024-06-13 12:34:02,68337.23177708896,67796.18797745643,68345.47012854868,67796.18797745643
2024-06-13 12:34:02,2024-06-13 12:35:02,67965.69582184406,67965.69582184406,68083.22988528931,67965.69582184406
2024-06-13 12:35:02,2024-06-13 12:36:02,68103.11261338281,68063.85273823772,68103.11261338281,68063.85273823772
2024-06-13 12:36:02,2024-06-13 12:37:02,68070.06899787264,68070.06899787264,68185.99168538522,68070.06899787264
2024-06-13 12:37:02,2024-06-13 12:38:02,68160.21142770642,68019.43076770249,68160.21142770642,68019.43076770249
2024-06-13 12:38:02,2024-06-13 12:39:02,67997.02973425837,67900.56488875253,67997.02973425837,67900.56488875253
2024-06-13 12:39:02,2024-06-13 12:40:02,67936.21085179316,67796.69507931951,67936.21085179316,67796.69507931951
2024-06-13 12:40:02,2024-06-13 12:41:02,67800.71323862791,67781.97154290773,67831.79366307969,67781.97154290773
2024-06-13 12:41:02,2024-06-13 12:42:02,67778.21529340782,67671.93653496407,67778.21529340782,67671.93653496407
2024-06-13 12:42:02,2024-06-13 12:43:02,67717.75640896802,67715.66963723932,67763.0589915544,67715.66963723932
2024-06-13 12:43:02,2024-06-13 12:44:02,67759.47609976238,67682.51045565213,67769.02647713234,67682.51045565213
2024-06-13 12:44:02,2024-06-13 12:45:02,67689.07945957816,67675.17199740079,67702.53359248342,67675.17199740079
2024-06-13 12:45:02,2024-06-13 12:46:02,67704.30621308718,67702.43220288758,67764.8985305434,67702.43220288758
2024-06-13 12:46:02,2024-06-13 12:47:02,67764.32969538147,67724.9530219151,67764.32969538147,67724.9530219151
2024-06-13 12:47:02,2024-06-13 12:48:02,67734.007976963,67720.9152982091,67791.11703299143,67720.9152982091
