Date,Price
2024-06-15 08:46:27,66138.37096181056
2024-06-15 08:46:32,66137.60497202985
2024-06-15 08:46:37,66130.77490255483
2024-06-15 08:46:57,66134.6516974789
2024-06-15 08:47:02,66134.73634626596
2024-06-15 08:47:07,66133.45674508285
2024-06-15 08:48:07,66139.8585726978
2024-06-15 08:54:02,66137.58782389798
2024-06-15 08:54:07,66137.58782389798
2024-06-15 08:54:12,66135.81938860586
2024-06-15 08:54:17,66135.86848718679
2024-06-15 08:54:25,66134.29961379629
2024-06-15 08:54:29,66134.29961379629
2024-06-15 08:54:32,66134.27438817297
2024-06-15 08:54:37,66134.27438817297
2024-06-15 08:54:42,66132.06092926029
2024-06-15 08:54:47,66132.18125672611
2024-06-15 08:54:53,66131.65336521696
2024-06-15 08:54:57,66131.96398798833
2024-06-15 08:55:02,66131.96894473357
2024-06-15 08:55:12,66131.78569309413
2024-06-15 08:59:42,66175.67966336597
2024-06-15 08:59:47,66175.68029860339
2024-06-15 08:59:52,66175.6100990046
2024-06-15 08:59:57,66178.16357939277
2024-06-15 09:00:02,66178.0070200852
2024-06-15 09:00:07,66178.0070200852
2024-06-15 09:00:12,66182.08065266813
2024-06-15 09:00:17,66182.01957961022
2024-06-15 09:00:22,66182.01957961022
2024-06-15 09:00:27,66186.84993331894
2024-06-15 09:00:33,66185.17105481002
2024-06-15 09:00:37,66187.3905436929
2024-06-15 09:00:44,66185.09739768243
2024-06-15 09:03:47,66193.23557386396
2024-06-15 09:03:52,66193.2291847203
2024-06-15 09:03:57,66194.3509659415
2024-06-15 09:04:02,66207.13072333465
2024-06-15 09:04:09,66208.18215077449
2024-06-15 09:04:13,66210.60612148308
2024-06-15 09:04:17,66212.79225967055
2024-06-15 09:04:25,66208.69964195014
2024-06-15 09:04:29,66208.69964195014
2024-06-15 09:04:33,66214.27477266366
2024-06-15 09:04:37,66208.84554966122
2024-06-15 09:04:42,66209.44519862115
2024-06-15 09:04:47,66208.46606001967
2024-06-15 09:04:57,66211.70496947035
